[     339ms] [LOG] %cSocket connected. color: green; font-weight: bold; @ http://localhost:3131/framework/ext/Socket/Socket.js:52
[  106520ms] [LOG] %cSocket connected. color: green; font-weight: bold; @ http://localhost:3131/framework/ext/Socket/Socket.js:52
[  134790ms] [LOG] %cSocket connected. color: green; font-weight: bold; @ http://localhost:3131/framework/ext/Socket/Socket.js:52
[  152293ms] [LOG] %cSocket connected. color: green; font-weight: bold; @ http://localhost:3131/framework/ext/Socket/Socket.js:52
[  165128ms] [LOG] %cSocket connected. color: green; font-weight: bold; @ http://localhost:3131/framework/ext/Socket/Socket.js:52
[  202583ms] [LOG] %cSocket connected. color: green; font-weight: bold; @ http://localhost:3131/framework/ext/Socket/Socket.js:52
[  233542ms] [LOG] %cSocket connected. color: green; font-weight: bold; @ http://localhost:3131/framework/ext/Socket/Socket.js:52
[  240204ms] [LOG] %cSocket connected. color: green; font-weight: bold; @ http://localhost:3131/framework/ext/Socket/Socket.js:52
[  248016ms] [LOG] %cSocket connected. color: green; font-weight: bold; @ http://localhost:3131/framework/ext/Socket/Socket.js:52
[  254075ms] [LOG] %cSocket connected. color: green; font-weight: bold; @ http://localhost:3131/framework/ext/Socket/Socket.js:52
[  277875ms] [LOG] %cSocket connected. color: green; font-weight: bold; @ http://localhost:3131/framework/ext/Socket/Socket.js:52
[  287037ms] [LOG] %cSocket connected. color: green; font-weight: bold; @ http://localhost:3131/framework/ext/Socket/Socket.js:52
[  292441ms] [LOG] %cSocket connected. color: green; font-weight: bold; @ http://localhost:3131/framework/ext/Socket/Socket.js:52
