[     645ms] [LOG] %cSocket connected. color: green; font-weight: bold; @ http://localhost:3131/framework/ext/Socket/Socket.js:52
[  713616ms] [LOG] %cSocket connected. color: green; font-weight: bold; @ http://localhost:3131/framework/ext/Socket/Socket.js:52
[  726080ms] [LOG] %cSocket connected. color: green; font-weight: bold; @ http://localhost:3131/framework/ext/Socket/Socket.js:52
[  769420ms] [LOG] %cSocket connected. color: green; font-weight: bold; @ http://localhost:3131/framework/ext/Socket/Socket.js:52
[  799663ms] [LOG] %cSocket connected. color: green; font-weight: bold; @ http://localhost:3131/framework/ext/Socket/Socket.js:52
[  820171ms] [LOG] %cSocket connected. color: green; font-weight: bold; @ http://localhost:3131/framework/ext/Socket/Socket.js:52
[  853824ms] [LOG] %cSocket connected. color: green; font-weight: bold; @ http://localhost:3131/framework/ext/Socket/Socket.js:52
[  876156ms] [LOG] %cSocket connected. color: green; font-weight: bold; @ http://localhost:3131/framework/ext/Socket/Socket.js:52
[  902258ms] [LOG] %cSocket connected. color: green; font-weight: bold; @ http://localhost:3131/framework/ext/Socket/Socket.js:52
[  912848ms] [LOG] %cSocket connected. color: green; font-weight: bold; @ http://localhost:3131/framework/ext/Socket/Socket.js:52
[  920274ms] [LOG] %cSocket connected. color: green; font-weight: bold; @ http://localhost:3131/framework/ext/Socket/Socket.js:52
[  977000ms] [LOG] %cSocket connected. color: green; font-weight: bold; @ http://localhost:3131/framework/ext/Socket/Socket.js:52
[  987393ms] [LOG] %cSocket connected. color: green; font-weight: bold; @ http://localhost:3131/framework/ext/Socket/Socket.js:52
[  999013ms] [LOG] %cSocket connected. color: green; font-weight: bold; @ http://localhost:3131/framework/ext/Socket/Socket.js:52
